title,description,points,challenge_type,start_date,end_date
Snack Atttack,"Take a Picture with 1 Drink, 1 Ice Cream, and 1 Popcorn",3,exclusive,8/20/2025,
Prop Selfie,"Take a selfie hiding behind a prop (trash can, umbrella, etc.).",3,exclusive,8/20/2025,
Paparazzi,Take a fake paparazzi shot of another player.,3,exclusive,8/20/2025,
Disney Channel,Record yourself doing the Disney Channel “logo draw” video,3,exclusive,8/20/2025,
Silent Film,Record yourself screaming without sound for a silent movie shot.,3,exclusive,8/20/2025,
Forced Perspective,"Take a forced-perspective Picture (e.g., holding the Tower of Terror).",3,exclusive,8/20/2025,
Curtsey,Do an over-the-top bow or curtsey in front of any attraction.,3,exclusive,8/20/2025,
Dramatic Pose,Pose dramatically in front of a Star Wars vehicle.,3,exclusive,8/20/2025,
Slow Mo Walk,Record yourself doing most exaggerated slow-motion walk through a park area.,3,exclusive,8/20/2025,
Dramatic Eating,Record yourself eating a snack as dramatically as possible.,3,exclusive,8/20/2025,
Alien Swirling Saucers,Ride Alien Swirling Saucers,3,exclusive,8/20/2025,
Smugglers Run,Ride Millennium Falcon: Smugglers Run,3,exclusive,8/20/2025,
Rock n Roller Coaster,Ride Rock 'n' Roller Coaster ,3,exclusive,8/20/2025,
Slinky Dog Dash,Ride Slinky Dog Dash,3,exclusive,8/20/2025,
Star Tours,Ride Star Tours – The Adventures Continue,3,exclusive,8/20/2025,
Rise of the Resistance,Ride Star Wars: Rise of the Resistance,3,exclusive,8/20/2025,
Toy Story Mania,Ride Toy Story Mania!,3,exclusive,8/20/2025,
Tower of Terror,Ride The Twilight Zone Tower of Terror,3,exclusive,8/20/2025,
Runaway Railway,Ride Mickey & Minnie's Runaway Railway,3,exclusive,8/20/2025,
Muppets 3D,Attend/Watch Muppet Vision 3D,3,exclusive,8/20/2025,
Wonderful World of Animation,Attend/Watch Wonderful World of Animation,3,exclusive,8/20/2025,
Mid Drop React,Capture your reaction mid-drop on a ride (must be expressive).,5,exclusive,8/20/2025,
Hats,Get a photo with 3 types of hats on (different characters/themes).,5,exclusive,8/20/2025,
Chewbacca,Take a Picture with Chewbacca,5,exclusive,8/20/2025,
Darth Vader,Take a Picture with Darth Vader,5,exclusive,8/20/2025,
BB-8,Take a Picture with BB-8,5,exclusive,8/20/2025,
Woody,Take a Picture with Woody,5,exclusive,8/20/2025,
Buzz Lightyear,Take a Picture with Buzz Lightyear,5,exclusive,8/20/2025,
The Incredibles,Take a Picture with Mr. or Mrs. Incredible,5,exclusive,8/20/2025,
Olaf,Take a Picture with Olaf,5,exclusive,8/20/2025,
Joy,Take a Picture with Joy,5,exclusive,8/20/2025,
Edna Mode,Take a Picture with Edna Mode,5,exclusive,8/20/2025,
DJ Robot,Take a Video with the DJ Robot at Oga's Cantina,5,exclusive,8/20/2025,
Light Saber,Take a Video Wielding a Light Saber,5,exclusive,8/20/2025,
RoR Trouble,Take a Video Getting Reprimanded on Rise of the Resistance,5,exclusive,8/20/2025,
Best Impression,Do an Impression of Chewbecca with Chewbacca,10,exclusive,8/20/2025,
Dramatic Moment,Convince a stranger to act out a dramatic moment with you,10,exclusive,8/20/2025,
Calling Cut/Action,Get a cast member to say “Action!” or “Cut!” on camera,10,exclusive,8/20/2025,
Tiktok Dance,Record yourself doing a tiktok dance in Galaxy’s Edge,10,exclusive,8/20/2025,
Music Video Lip Sync,Create a mini music video in the park lip-syncing to a DCOM Song,10,exclusive,8/20/2025,
Vlog,Record and Edit a Vlog of Day 1 and Post to Socials,10,exclusive,8/20/2025,
Duel,Record yourself recreating a lightsaber duel,10,exclusive,8/20/2025,
